Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
600,315,0,0,600,315,-1,Upload/00000.png
600,315,0,0,600,315,-1,Upload/00001.png
600,315,0,0,600,315,-1,Upload/00002.png
600,315,0,0,600,315,-1,Upload/00003.png
600,315,0,0,600,315,-1,Upload/00004.png
600,315,0,0,600,315,-1,Upload/00005.png
600,315,0,0,600,315,-1,Upload/00006.png
600,315,0,0,600,315,-1,Upload/00007.png
600,315,0,0,600,315,-1,Upload/00008.png
600,315,0,0,600,315,-1,Upload/00009.png
394,264,0,0,394,264,-1,Upload/00010.png
394,264,0,0,394,264,-1,Upload/00011.png
760,450,0,0,760,450,-1,Upload/00012.png
760,450,0,0,760,450,-1,Upload/00013.png
760,450,0,0,760,450,-1,Upload/00014.png
